# SKILL RUNTIME AUDIT PROGRESS
# Format: [STATUS] card_no | name_en | trigger | type | ability_path | engine | mcp | notes | date
# STATUS: PENDING | ENGINE_PASS | MCP_PASS | FAIL | SKIP | WONTFIX
# Separate from CARD_AUDIT_PROGRESS.txt (text/rules audit).
# Rebuilt: 2026-07-10
#
# Vol.1 deep outcome audit (2026-07-11):
# - Dedicated batch: reports/skill_audit_batches/batch-vol1.json (bp_vol1, 104 cards / 190 nodes)
# - Shallow engine+MCP: FAIL 0 / SKIP 0
# - Outcome PHPUnit: tests/Engine/Vol1NijigasakiSkillAuditTest.php + Vol1HasunosoraLiellaSkillAuditTest.php
#   covering 47 unique ability fingerprints (PL!N / PL!HS / PL!SP / LL-bp1)
# - Engine fixes shipped with this pass: AbilityResolver no longer pre-refreshes WR into deck;
#   pick_yell_member single-candidate add; reveal_deck_until_live then; energy_wait viability;
#   Solitude Rain score_per_distinct_heart_colors
# - Remaining SKIP/WONTFIX for vol.1 deep suite: none (nested continuous draw_per_yell_* exercised
#   only as presence on Live cards; foil variants share ability JSON with audited reps)
[MCP_PASS] PL!S-bp2-001-P | Chika Takami | continuous | blade_if_no_self_success_opp_has | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-R＋ | Mari Ohara | continuous | grant_live_success_yell_live_score_if_full_stage | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-SEC | Mari Ohara | on_enter | optional_wr_live_deck_bottom | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_wr_live_deck_bottom; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-SEC | Mari Ohara | continuous | grant_live_success_yell_live_score_if_full_stage | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-009-P | Ruby Kurosawa | activated | leave_stage_add_from_wr | abilities[0] | PASS | PASS | wr_filter=live; prompt=pick_wr_leave_stage_add; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-009-R | Ruby Kurosawa | activated | leave_stage_add_from_wr | abilities[0] | PASS | PASS | wr_filter=live; prompt=pick_wr_leave_stage_add; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-010-N | Chika Takami | on_enter | draw_and_discard | abilities[0] | PASS | PASS | wr_filter=member; prompt=effect_discard_hand; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-016-N | Hanamaru Kunikida | activated | leave_stage_add_from_wr | abilities[0] | PASS | PASS | wr_filter=member; prompt=pick_wr_leave_stage_add; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-021-L | Mitaiken HORIZON | live_success | live_success_yell_live_deck_bottom | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-022-L | Mijuku DREAMER | live_success | score_if_deck_refreshed | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-023-L | MY Mai☆TONIGHT | live_start | member_blade_bonus_if_other_live_zone | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-024-L | Kimi no Kokoro wa Kagayaiteru kai? | continuous | cannot_success_live | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-024-L | Kimi no Kokoro wa Kagayaiteru kai? | live_success | draw_and_discard | abilities[1] | PASS | PASS | wr_filter=member; prompt=effect_discard_hand; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-024-SECL | Kimi no Kokoro wa Kagayaiteru kai? | continuous | cannot_success_live | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-024-SECL | Kimi no Kokoro wa Kagayaiteru kai? | live_success | draw_and_discard | abilities[1] | PASS | PASS | wr_filter=member; prompt=effect_discard_hand; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp2-025-L | Aozora Jumping Heart | live_start | member_blade_bonus_if_success_count | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-001-P | Chika Takami | activated | wait_pick_member_grant_live_score | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_pick_member_grant_live_score; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-001-P＋ | Chika Takami | activated | wait_pick_member_grant_live_score | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_pick_member_grant_live_score; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-001-R＋ | Chika Takami | activated | wait_pick_member_grant_live_score | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_pick_member_grant_live_score; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-001-SEC | Chika Takami | activated | wait_pick_member_grant_live_score | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_pick_member_grant_live_score; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-002-P | Riko Sakurauchi | live_success | add_self_to_hand_if_winning_yell | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-002-R | Riko Sakurauchi | live_success | add_self_to_hand_if_winning_yell | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-003-P | Kanan Matsuura | on_enter | draw_cards | abilities[0].then | PASS | PASS | nested chain via parent; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-P | Kanan Matsuura | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-P | Kanan Matsuura | live_start | optional_discard_blade_per_card | abilities[1] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-P＋ | Kanan Matsuura | on_enter | draw_cards | abilities[0].then | PASS | PASS | nested chain via parent; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-P＋ | Kanan Matsuura | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-P＋ | Kanan Matsuura | live_start | optional_discard_blade_per_card | abilities[1] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-R＋ | Kanan Matsuura | on_enter | draw_cards | abilities[0].then | PASS | PASS | nested chain via parent; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-R＋ | Kanan Matsuura | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-R＋ | Kanan Matsuura | live_start | optional_discard_blade_per_card | abilities[1] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-SEC | Kanan Matsuura | on_enter | draw_cards | abilities[0].then | PASS | PASS | nested chain via parent; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-SEC | Kanan Matsuura | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-003-SEC | Kanan Matsuura | live_start | optional_discard_blade_per_card | abilities[1] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-004-P | Dia Kurosawa | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-004-P | Dia Kurosawa | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-004-R | Dia Kurosawa | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-004-R | Dia Kurosawa | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-005-P | You Watanabe | auto | auto_yell_draw_if_fewer_cards | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-005-R | You Watanabe | auto | auto_yell_draw_if_fewer_cards | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-006-P | Yoshiko Tsushima | activated | wait_swap_wr_member_center | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_swap_wr_member_center; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-006-P＋ | Yoshiko Tsushima | activated | wait_swap_wr_member_center | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_swap_wr_member_center; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-006-R＋ | Yoshiko Tsushima | activated | wait_swap_wr_member_center | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_swap_wr_member_center; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-006-SEC | Yoshiko Tsushima | activated | wait_swap_wr_member_center | abilities[0] | PASS | PASS | wr_filter=member; prompt=wait_swap_wr_member_center; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-007-P | Hanamaru Kunikida | activated | player_choice_wr_live_deck_bottom_draw | abilities[0] | PASS | PASS | wr_filter=member; prompt=player_choice_wr_live_deck_bottom_draw; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-007-R | Hanamaru Kunikida | activated | player_choice_wr_live_deck_bottom_draw | abilities[0] | PASS | PASS | wr_filter=member; prompt=player_choice_wr_live_deck_bottom_draw; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-008-P | Mari Ohara | activated | leave_stage_add_from_wr | abilities[0] | PASS | PASS | wr_filter=live; prompt=pick_wr_leave_stage_add; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-008-R | Mari Ohara | activated | leave_stage_add_from_wr | abilities[0] | PASS | PASS | wr_filter=live; prompt=pick_wr_leave_stage_add; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-009-P | Ruby Kurosawa | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-009-P | Ruby Kurosawa | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-009-R | Ruby Kurosawa | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-009-R | Ruby Kurosawa | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-010-N | Chika Takami | on_enter | activate_members | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-011-N | Riko Sakurauchi | on_enter | activate_members | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-012-N | Kanan Matsuura | on_enter_or_live_start | optional_wait_self_wait_opp | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_wait_self; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-016-N | Hanamaru Kunikida | continuous | self_stage_cost_per_success | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp3-017-N | Mari Ohara | on_enter_or_live_start | optional_wait_self_wait_opp | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_wait_self; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp3-019-L | MIRACLE WAVE | live_success | set_live_score_if_yell_or_excess | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-020-L | Daisuki dattara Daijoubu! | auto | auto_yell_no_live_retry | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-021-L | Omoi yo Hitotsu ni Nare | live_start | optional_wr_member_deck_top_blade | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-024-L | Deep Resonance | live_start | live_start_center_cost_choice | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp3-025-L | SUKI for you, DREAM for you! | live_start | score_if_stage_member_hearts | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-001-AR | Chika Takami | on_enter | if_baton_from_no_ability_draw | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-AR | Chika Takami | continuous | aura_hand_cost_reduction_no_ability | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-P | Chika Takami | on_enter | if_baton_from_no_ability_draw | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-P | Chika Takami | continuous | aura_hand_cost_reduction_no_ability | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-R＋ | Chika Takami | on_enter | if_baton_from_no_ability_draw | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-R＋ | Chika Takami | continuous | aura_hand_cost_reduction_no_ability | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-SEC | Chika Takami | on_enter | if_baton_from_no_ability_draw | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-001-SEC | Chika Takami | continuous | aura_hand_cost_reduction_no_ability | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-002-AR | Riko Sakurauchi | live_start | live_start_center_equal_sides_wait_opp_blade | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-002-P | Riko Sakurauchi | live_start | live_start_center_equal_sides_wait_opp_blade | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-002-R＋ | Riko Sakurauchi | live_start | live_start_center_equal_sides_wait_opp_blade | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-002-SEC | Riko Sakurauchi | live_start | live_start_center_equal_sides_wait_opp_blade | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-003-AR | Kanan Matsuura | on_enter | on_enter_discard_bladeless_wr_live_match | abilities[0] | PASS | PASS | wr_filter=live; prompt=sbp5_discard_bladeless_wr_live; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-003-P | Kanan Matsuura | on_enter | on_enter_discard_bladeless_wr_live_match | abilities[0] | PASS | PASS | wr_filter=live; prompt=sbp5_discard_bladeless_wr_live; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-003-R | Kanan Matsuura | on_enter | on_enter_discard_bladeless_wr_live_match | abilities[0] | PASS | PASS | wr_filter=live; prompt=sbp5_discard_bladeless_wr_live; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-004-AR | Dia Kurosawa | on_enter | on_enter_aqours_blade_or_saint_snow_position | abilities[0] | PASS | PASS | wr_filter=member; prompt=sbp5_aqours_blade_or_position; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-004-P | Dia Kurosawa | on_enter | on_enter_aqours_blade_or_saint_snow_position | abilities[0] | PASS | PASS | wr_filter=member; prompt=sbp5_aqours_blade_or_position; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-004-R | Dia Kurosawa | on_enter | on_enter_aqours_blade_or_saint_snow_position | abilities[0] | PASS | PASS | wr_filter=member; prompt=sbp5_aqours_blade_or_position; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-005-AR | You Watanabe | live_start | live_start_discard_heart_non_aqours_entered | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-005-P | You Watanabe | live_start | live_start_discard_heart_non_aqours_entered | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-005-R＋ | You Watanabe | live_start | live_start_discard_heart_non_aqours_entered | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-005-SEC | You Watanabe | live_start | live_start_discard_heart_non_aqours_entered | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-006-AR | Yoshiko Tsushima | on_enter | optional_wait_discard_look_reveal_group | abilities[0] | PASS | PASS | wr_filter=member; prompt=bp5_wait_discard_look_reveal; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-006-P | Yoshiko Tsushima | on_enter | optional_wait_discard_look_reveal_group | abilities[0] | PASS | PASS | wr_filter=member; prompt=bp5_wait_discard_look_reveal; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-006-R | Yoshiko Tsushima | on_enter | optional_wait_discard_look_reveal_group | abilities[0] | PASS | PASS | wr_filter=member; prompt=bp5_wait_discard_look_reveal; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-007-AR | Hanamaru Kunikida | live_success | live_success_look_reveal_member_hearts | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-007-P | Hanamaru Kunikida | live_success | live_success_look_reveal_member_hearts | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-007-R | Hanamaru Kunikida | live_success | live_success_look_reveal_member_hearts | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=live_set | 2026-07-10
[MCP_PASS] PL!S-bp5-008-AR | Mari Ohara | continuous | live_score_if_opp_surplus_hearts | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-008-P | Mari Ohara | continuous | live_score_if_opp_surplus_hearts | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-008-R | Mari Ohara | continuous | live_score_if_opp_surplus_hearts | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp5-009-AR | Ruby Kurosawa | on_enter | optional_pay_energy_add_wr_subunit_blade | abilities[0] | PASS | PASS | wr_filter=member; prompt=sbp5_pay_energy_wr_subunit_blade; tier A ok | 2026-07-10
